#{"t_start": 1618548176.2107072, "env_id": "BreakoutNoFrameskip-v0"}
r,l,t
2.0,102,1405.725623
2.0,128,1407.638214
5.0,178,1409.983199
1.0,73,1410.645896
2.0,124,1412.487248
1.0,76,1413.895965
1.0,75,1415.28714
7.0,242,1418.88886
1.0,54,1419.372922
1.0,74,1420.761373
4.0,177,1423.089354
1.0,74,1423.761969
1.0,51,1424.984854
6.0,202,1427.545519
1.0,83,1429.033077
6.0,201,1432.297383
3.0,158,1434.450235
4.0,186,1436.848563
5.0,229,1440.399048
2.0,135,1442.386441
1.0,134,1444.329
2.0,122,1446.154856
4.0,171,1449.133122
1.0,54,1449.616274
4.0,183,1452.049751
0.0,81,1453.556639
4.0,181,1455.898172
1.0,51,1457.085176
1.0,55,1457.566373
4.0,173,1460.560634
3.0,170,1462.862674
4.0,183,1465.280343
1.0,51,1466.543399
1.0,52,1467.002822
4.0,192,1470.22587
4.0,173,1472.541777
4.0,168,1474.824873
6.0,217,1478.246673
2.0,99,1479.886929
2.0,86,1480.660016
0.0,31,1481.663927
6.0,226,1484.434302
1.0,51,1485.62742
1.0,55,1486.123364
0.0,23,1486.325638
1.0,56,1487.548315
1.0,57,1488.06635
8.0,296,1492.895579
1.0,62,1493.438113
3.0,160,1495.586811
3.0,175,1498.615351
1.0,73,1499.258799
2.0,82,1500.729148
1.0,54,1501.2145
2.0,84,1502.763219
5.0,220,1506.167596
4.0,155,1508.309143
1.0,69,1509.687191
0.0,23,1509.9
2.0,86,1510.686599
5.0,199,1513.919656
2.0,108,1515.612971
2.0,100,1517.26724
4.0,188,1519.762417
4.0,179,1522.18098
1.0,57,1523.471723
5.0,191,1525.95493
2.0,98,1527.576303
3.0,159,1529.761101
1.0,56,1531.028651
1.0,57,1531.536191
4.0,189,1534.731737
0.0,23,1534.945572
3.0,132,1536.899607
7.0,244,1540.566219
0.0,32,1540.872971
3.0,150,1542.96426
4.0,168,1546.013977
2.0,111,1547.005689
4.0,157,1549.887496
3.0,183,1552.284357
4.0,182,1555.374731
7.0,241,1558.232056
1.0,103,1559.889254
1.0,60,1561.175168
4.0,145,1563.186543
1.0,75,1563.91167
4.0,154,1566.737916
1.0,81,1567.473099
0.0,30,1567.742009
5.0,217,1571.137143
2.0,116,1572.946409
4.0,169,1575.203631
4.0,160,1578.077342
5.0,175,1580.394222
1.0,58,1580.926661
1.0,48,1582.101843
4.0,172,1584.396775
4.0,156,1586.523582
1.0,79,1587.990252
1.0,79,1589.451773
2.0,120,1591.287745
3.0,150,1593.382452
6.0,209,1595.974853
2.0,87,1597.500481
2.0,144,1599.585851
0.0,29,1599.87706
4.0,171,1602.939736
2.0,90,1603.746775
5.0,203,1607.041128
4.0,180,1609.451369
1.0,169,1612.439225
4.0,169,1614.748466
3.0,123,1616.593437
2.0,126,1618.479085
1.0,57,1619.006206
1.0,49,1620.189668
3.0,152,1622.308081
3.0,132,1624.290475
6.0,238,1627.921996
1.0,75,1629.387181
2.0,105,1630.3296
0.0,23,1631.283831
4.0,195,1633.778544
0.0,25,1634.01143
1.0,72,1635.429213
4.0,174,1637.70767
2.0,101,1639.358058
3.0,134,1641.266095
0.0,25,1641.482945
3.0,154,1643.573439
2.0,98,1645.212514
6.0,216,1648.641602
1.0,75,1649.311362
1.0,74,1650.703058
4.0,176,1653.085822
4.0,180,1656.22215
1.0,51,1656.70521
2.0,105,1658.386489
1.0,56,1658.888331
2.0,103,1660.536319
2.0,98,1662.157307
5.0,190,1665.368024
5.0,197,1667.863578
4.0,196,1671.092076
4.0,148,1673.151811
1.0,51,1673.601891
2.0,100,1675.244296
1.0,72,1675.892889
2.0,102,1677.562664
1.0,74,1679.067422
4.0,159,1681.220012
2.0,100,1682.887113
3.0,120,1684.687863
1.0,57,1685.197225
6.0,220,1688.614048
1.0,50,1689.053507
4.0,167,1692.009591
2.0,103,1692.935641
1.0,54,1694.153877
3.0,132,1696.178907
2.0,110,1697.900749
1.0,51,1698.359392
3.0,138,1700.366869
2.0,100,1701.985724
5.0,198,1705.267884
3.0,160,1707.479452
2.0,98,1709.094045
4.0,153,1711.194216
4.0,173,1713.559677
6.0,218,1717.145366
5.0,222,1720.664222
1.0,69,1721.293503
4.0,176,1724.322138
3.0,160,1726.568032
4.0,180,1728.972854
2.0,127,1730.846411
5.0,190,1734.060794
4.0,196,1736.611381
2.0,106,1738.309317
2.0,104,1740.016987
3.0,155,1742.149471
3.0,116,1743.916956
2.0,100,1745.556542
4.0,175,1747.874831
4.0,139,1749.846002
2.0,92,1751.406385
5.0,190,1753.8358
12.0,437,1760.821898
4.0,150,1762.934181
2.0,123,1764.799424
2.0,117,1766.62212
1.0,52,1767.097631
5.0,194,1770.425629
1.0,74,1771.139101
2.0,107,1772.870916
4.0,142,1775.011137
3.0,147,1777.364989
1.0,57,1778.645213
1.0,59,1779.180525
1.0,70,1780.550683
3.0,131,1782.458194
12.0,456,1788.923179
0.0,23,1789.896619
1.0,74,1790.557194
1.0,80,1792.012177
2.0,90,1793.569379
5.0,191,1796.094682
1.0,59,1797.363603
4.0,145,1799.437973
1.0,57,1799.959363
3.0,74,1801.364913
5.0,181,1803.757869
2.0,108,1805.518323
2.0,113,1807.285277
6.0,226,1810.763101
1.0,51,1811.226369
4.0,170,1813.50892
4.0,173,1816.552068
4.0,156,1818.654583
5.0,215,1822.03594
2.0,102,1822.949569
4.0,152,1825.775411
2.0,88,1826.587062
2.0,102,1828.241313
9.0,358,1833.639666
5.0,312,1837.979152
5.0,194,1841.228771
1.0,55,1841.734102
2.0,86,1843.226948
5.0,168,1845.465985
5.0,178,1848.597914
4.0,167,1850.893154
3.0,155,1853.053495
2.0,103,1854.714124
7.0,239,1858.367621
1.0,46,1858.820067
4.0,170,1861.1199
4.0,154,1863.954743
3.0,157,1866.111107
3.0,151,1868.221115
2.0,89,1869.811274
1.0,51,1870.273236
2.0,101,1871.92798
5.0,176,1874.281819
4.0,175,1877.518798
2.0,120,1879.398886
13.0,484,1886.072649
6.0,211,1889.52777
6.0,281,1893.577976
4.0,428,1900.437278
0.0,211,1903.078377
2.0,100,1904.80599
2.0,119,1906.634289
5.0,201,1909.892722
4.0,179,1912.275098
4.0,158,1914.431675
4.0,187,1917.635702
2.0,106,1918.588696
4.0,173,1921.615746
3.0,145,1923.696867
2.0,106,1925.387079
0.0,23,1925.608628
5.0,177,1927.937663
4.0,156,1930.806667
1.0,73,1931.470642
5.0,201,1934.711145
3.0,147,1936.772274
6.0,237,1940.392232
3.0,151,1942.528383
3.0,138,1944.562019
4.0,159,1946.773284
2.0,101,1948.407966
2.0,107,1950.127458
4.0,179,1952.502616
7.0,266,1956.346381
4.0,145,1958.442291
3.0,130,1960.377237
3.0,154,1963.221903
2.0,89,1964.026715
6.0,240,1967.651113
2.0,109,1969.388031
4.0,168,1971.660563
1.0,61,1972.927528
3.0,175,1975.216863
5.0,197,1978.485088
4.0,178,1980.816966
4.0,168,1983.078918
4.0,164,1986.019724
2.0,83,1986.787057
6.0,228,1990.420258
7.0,247,1994.212988
4.0,152,1996.335784
0.0,25,1996.592069
2.0,103,1998.237737
5.0,198,2001.484775
4.0,178,2003.810866
7.0,227,2007.320104
4.0,159,2009.508353
6.0,208,2012.857223
5.0,226,2016.332669
6.0,235,2019.223874
5.0,194,2022.443865
9.0,348,2027.782207
1.0,53,2028.26713
5.0,192,2031.465783
1.0,84,2032.23398
4.0,168,2035.255797
2.0,106,2036.243392
1.0,55,2037.486335
4.0,160,2039.673251
4.0,180,2042.041039
4.0,170,2045.050636
2.0,119,2046.867675
5.0,174,2049.150098
1.0,61,2050.487285
5.0,196,2053.039023
3.0,136,2055.029439
0.0,25,2055.264864
1.0,57,2056.503746
0.0,27,2056.74821
1.0,55,2057.235561
4.0,153,2060.094261
2.0,112,2061.856675
5.0,200,2064.459387
1.0,58,2065.739564
4.0,146,2067.817773
1.0,51,2068.277371
7.0,215,2071.742301
4.0,151,2073.832232
1.0,72,2075.232665
1.0,47,2075.646362
0.0,23,2075.863881
3.0,151,2077.956593
3.0,155,2080.082992
5.0,200,2083.343219
5.0,185,2085.735466
4.0,182,2088.895187
4.0,158,2091.075001
5.0,204,2094.376502
4.0,155,2096.532254
5.0,206,2099.921522
7.0,245,2102.909361
11.0,432,2109.748549
1.0,115,2111.568424
1.0,54,2112.048678
4.0,163,2114.248873
1.0,69,2115.631351
2.0,104,2117.292744
5.0,196,2119.780591
5.0,213,2123.159261
6.0,241,2126.79916
9.0,325,2131.197611
4.0,187,2134.303812
4.0,141,2136.32108
4.0,162,2138.518506
4.0,213,2141.87075
3.0,147,2143.95634
2.0,124,2145.796894
0.0,25,2146.041622
1.0,74,2147.429255
2.0,125,2149.276932
1.0,51,2149.744199
3.0,150,2151.834608
6.0,206,2155.154456
6.0,206,2158.481259
3.0,145,2160.501401
4.0,171,2162.761373
2.0,103,2164.423598
2.0,127,2166.308359
2.0,107,2168.009175
5.0,214,2170.688406
0.0,23,2170.897916
1.0,54,2172.110747
1.0,57,2172.642689
1.0,71,2174.007421
2.0,86,2175.528002
7.0,244,2178.467835
1.0,64,2179.786225
5.0,197,2182.988428
5.0,328,2187.391786
2.0,1328,2206.69024
4.0,153,2209.547128
0.0,24,2209.76437
2.0,92,2211.322864
4.0,167,2213.571755
3.0,157,2215.733872
6.0,216,2219.16037
4.0,181,2221.535344
1.0,83,2223.016956
1.0,52,2223.517527
4.0,160,2225.704438
2.0,101,2227.372472
5.0,196,2230.612836
5.0,183,2232.992914
6.0,222,2236.500464
2.0,131,2238.454406
5.0,192,2240.913619
3.0,153,2243.802261
3.0,124,2245.676484
1.0,52,2246.135567
2.0,64,2247.46154
4.0,155,2249.6063
5.0,174,2251.876453
11.0,455,2258.880191
2.0,111,2260.592466
1.0,86,2261.369268
3.0,145,2263.413208
3.0,131,2265.323016
3.0,153,2268.149025
6.0,222,2270.917143
4.0,176,2274.010169
6.0,218,2276.706514
2.0,85,2278.209849
6.0,220,2281.692952
1.0,59,2282.234382
1.0,61,2283.547211
5.0,193,2286.041842
4.0,173,2289.032984
2.0,86,2289.812368
2.0,102,2291.464358
3.0,134,2293.399269
2.0,121,2295.237346
7.0,226,2298.734326
2.0,89,2299.539027
1.0,58,2300.794181
3.0,97,2302.38394
4.0,186,2304.784438
5.0,212,2308.199095
3.0,158,2310.337647
3.0,158,2312.522622
5.0,196,2315.747178
1.0,51,2316.242351
2.0,94,2318.016392
0.0,28,2318.296188
1.0,71,2319.805849
1.0,58,2320.3293
5.0,193,2323.588504
5.0,207,2326.224286
2.0,123,2328.085707
1.0,80,2329.542177
6.0,219,2332.971799
5.0,161,2335.214746
1.0,70,2335.903993
1.0,56,2337.169687
6.0,220,2340.865778
2.0,108,2341.827506
5.0,178,2344.934003
5.0,200,2347.461208
4.0,177,2350.476894
1.0,74,2351.130236
4.0,186,2354.254454
4.0,169,2356.501648
4.0,141,2358.524864
6.0,226,2361.963462
1.0,59,2362.492433
1.0,49,2363.658418
2.0,101,2365.319946
2.0,93,2366.160702
5.0,220,2369.558156
3.0,153,2371.643543
4.0,164,2374.544859
6.0,236,2377.391629
