#{"t_start": 1618548176.2107072, "env_id": "BreakoutNoFrameskip-v0"}
r,l,t
2.0,101,189.711475
0.0,25,189.944381
0.0,26,190.916396
0.0,36,191.242371
0.0,23,191.467196
0.0,27,191.720659
1.0,54,192.941134
0.0,26,193.170359
1.0,53,193.64381
2.0,98,195.293733
1.0,73,196.67033
1.0,74,197.372346
1.0,79,198.828015
0.0,31,199.110112
1.0,70,200.484399
0.0,32,200.76921
1.0,53,201.241963
0.0,26,201.497413
0.0,25,202.445183
0.0,23,202.65585
0.0,23,202.862558
0.0,31,203.149825
1.0,55,204.384857
0.0,27,204.625855
0.0,23,204.833537
0.0,26,205.075641
2.0,120,206.906663
0.0,23,207.108936
2.0,98,208.726601
0.0,23,208.956318
2.0,98,210.56814
0.0,23,210.768562
0.0,23,210.983681
0.0,30,211.983199
0.0,23,212.214683
0.0,29,212.471489
0.0,30,212.746328
0.0,23,213.694612
0.0,23,213.907607
0.0,23,214.129603
0.0,51,214.592966
0.0,25,214.822309
0.0,23,215.75186
0.0,29,216.005455
1.0,69,216.634676
0.0,25,217.59675
0.0,25,217.814578
0.0,25,218.06226
0.0,25,218.294639
0.0,23,218.507764
0.0,23,219.442547
0.0,38,219.79586
0.0,34,220.101583
0.0,31,220.375643
0.0,23,221.31988
1.0,57,221.843942
0.0,39,222.201694
0.0,25,222.427909
1.0,77,223.873742
0.0,23,224.098898
0.0,30,225.112259
0.0,29,225.38674
2.0,98,226.996658
0.0,28,227.241558
0.0,23,227.451283
0.0,28,227.711027
0.0,25,227.944939
0.0,39,229.046162
0.0,33,229.339928
0.0,23,229.578304
0.0,33,229.880274
0.0,27,230.843695
0.0,31,231.126506
0.0,26,231.385234
0.0,23,231.605882
1.0,83,233.083669
0.0,27,233.324027
0.0,23,233.533246
0.0,28,233.795162
2.0,98,235.4423
0.0,23,235.647556
0.0,25,236.624778
0.0,23,236.828556
0.0,23,237.033391
0.0,23,237.26648
0.0,34,237.568324
0.0,27,238.552457
0.0,25,238.770785
0.0,26,239.021674
0.0,23,239.246076
0.0,55,240.465643
1.0,56,240.986161
0.0,25,241.215156
0.0,26,241.453957
0.0,23,242.393479
0.0,28,242.643688
0.0,25,242.884305
0.0,48,243.319469
0.0,25,244.27123
1.0,51,244.754465
0.0,29,245.025674
1.0,74,246.419438
1.0,57,246.922655
4.0,184,250.074462
2.0,98,250.971079
0.0,28,251.949085
0.0,36,252.293799
0.0,30,252.559202
2.0,119,254.375721
0.0,23,254.599342
0.0,27,254.838557
2.0,101,256.499126
0.0,31,257.498326
2.0,121,258.596781
0.0,23,259.560876
1.0,70,260.196404
0.0,26,260.426391
0.0,34,261.458263
1.0,51,261.946313
2.0,98,263.565047
0.0,25,263.805321
1.0,74,265.195102
0.0,23,265.411472
1.0,76,266.098684
0.0,23,267.05746
0.0,26,267.304729
2.0,98,268.894096
1.0,73,269.574113
0.0,25,269.810643
2.0,98,271.442482
1.0,74,272.829154
1.0,77,273.53611
0.0,29,273.80293
1.0,71,275.158957
2.0,98,276.816162
0.0,23,277.020202
2.0,84,278.482701
1.0,79,279.193615
0.0,30,279.466484
1.0,69,280.828272
1.0,70,282.183951
1.0,77,282.868273
2.0,135,284.847051
0.0,23,285.051245
1.0,71,286.432303
0.0,33,286.742534
3.0,163,288.942456
0.0,23,289.885979
0.0,27,290.124528
1.0,51,290.616199
0.0,26,290.848832
1.0,74,292.242495
0.0,25,292.479843
2.0,100,294.142892
2.0,117,295.950018
0.0,29,296.209237
0.0,23,296.436797
1.0,66,297.855026
1.0,77,298.553579
0.0,23,299.497692
1.0,51,299.970105
3.0,154,302.091771
0.0,25,302.322841
2.0,100,303.955627
2.0,98,305.611968
1.0,74,307.049628
1.0,74,307.740399
1.0,76,309.150677
1.0,79,309.894541
0.0,23,310.877488
1.0,51,311.334353
0.0,29,311.612783
1.0,54,312.820528
0.0,26,313.080093
2.0,98,314.72261
0.0,28,315.005126
0.0,25,315.240088
0.0,30,315.50904
0.0,29,315.766137
3.0,163,318.729404
0.0,26,318.973642
0.0,26,319.203944
0.0,25,319.430286
0.0,26,319.667597
1.0,69,321.013831
1.0,54,321.531156
0.0,23,322.481851
0.0,25,322.709613
0.0,23,322.916257
0.0,23,323.140831
1.0,55,324.373345
2.0,101,325.301753
0.0,23,326.287235
0.0,23,326.488537
1.0,51,326.944842
0.0,25,327.190192
2.0,98,328.819398
1.0,55,330.065308
0.0,23,330.285997
0.0,23,330.517833
1.0,51,330.977367
0.0,31,332.010209
0.0,23,332.224524
2.0,98,333.108536
1.0,70,334.463157
0.0,25,334.69503
0.0,25,334.924525
0.0,27,335.896662
0.0,23,336.097337
1.0,69,336.723412
1.0,74,338.133108
1.0,78,339.586839
1.0,75,340.283683
1.0,78,341.692724
2.0,98,343.308683
1.0,51,343.782452
1.0,73,344.443063
1.0,52,345.650301
1.0,79,347.096214
0.0,23,347.305672
0.0,23,347.510698
1.0,55,348.000036
4.0,175,351.054503
2.0,98,351.921522
3.0,147,354.758282
1.0,56,355.279102
1.0,65,356.617126
0.0,25,356.837255
1.0,74,357.514423
2.0,98,359.169117
1.0,52,359.626139
1.0,78,361.063989
1.0,76,362.475238
1.0,86,363.242773
1.0,69,364.618701
1.0,74,365.268643
0.0,25,366.236149
0.0,25,366.467687
1.0,70,367.093447
1.0,69,368.448966
2.0,125,370.33603
0.0,26,370.573483
0.0,25,370.81585
0.0,27,371.787884
2.0,98,372.683656
0.0,23,372.895086
2.0,123,374.737456
1.0,75,376.140563
1.0,77,377.583533
0.0,23,377.809242
0.0,39,378.156086
0.0,26,378.388695
0.0,27,379.362437
3.0,151,381.478687
0.0,23,381.709307
0.0,25,381.930458
3.0,130,383.841445
1.0,54,385.065588
0.0,23,385.275446
2.0,84,386.038233
1.0,53,387.273851
1.0,59,387.799843
1.0,59,389.076631
0.0,34,389.37606
1.0,51,389.847184
1.0,73,391.221707
2.0,107,392.944865
4.0,173,395.224483
0.0,30,395.487304
1.0,53,396.71144
2.0,122,398.529491
1.0,54,399.041438
2.0,120,400.870721
0.0,33,401.182007
2.0,84,402.687513
0.0,31,402.972238
4.0,167,405.956851
1.0,74,406.640655
1.0,75,408.083104
1.0,51,408.569293
2.0,103,410.220027
1.0,61,410.767756
0.0,31,411.794683
0.0,27,412.047273
1.0,51,412.506174
2.0,124,414.374209
1.0,82,415.86803
2.0,118,417.671628
2.0,116,419.490503
0.0,23,419.723097
0.0,25,419.944006
0.0,30,420.218073
0.0,23,420.421026
1.0,52,421.611127
2.0,120,423.422379
2.0,119,425.218026
1.0,57,425.773839
0.0,32,426.054142
0.0,26,427.012686
1.0,72,427.682724
